2025-05-24 16:11:27,137 - Packets received in last second: 0
2025-05-24 16:11:28,225 - Batch processed 100 packets. CPU: 0.0%, RAM: 88.4%
Received Packet 00000001 | Source IP: 136.70.231.240 | Destination IP: 172.16.0.10 | Source Port: 22641 | Destination Port: 22 | Protocol: UDP | Flags:  | TTL: 74 | Volume: 418 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00003141 | Source IP: 230.9.16.35 | Destination IP: 10.0.0.50 | Source Port: 29645 | Destination Port: 53 | Protocol: TCP | Flags: SYN | TTL: 229 | Volume: 167 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00003241 | Source IP: 212.234.101.28 | Destination IP: 192.168.1.200 | Source Port: 54249 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 120 | Volume: 820 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00003341 | Source IP: 46.68.36.28 | Destination IP: 10.0.0.50 | Source Port: 51885 | Destination Port: 443 | Protocol: TCP | Flags:  | TTL: 228 | Volume: 720 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00003441 | Source IP: 45.28.59.49 | Destination IP: 172.16.0.10 | Source Port: 58166 | Destination Port: 53 | Protocol: UDP | Flags:  | TTL: 52 | Volume: 1159 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00003541 | Source IP: 90.38.12.249 | Destination IP: 172.16.0.10 | Source Port: 63914 | Destination Port: 443 | Protocol: TCP | Flags:  | TTL: 234 | Volume: 1498 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00003641 | Source IP: 44.102.21.40 | Destination IP: 192.168.1.200 | Source Port: 20048 | Destination Port: 53 | Protocol: UDP | Flags:  | TTL: 227 | Volume: 773 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00003741 | Source IP: 64.228.21.90 | Destination IP: 172.16.0.10 | Source Port: 21300 | Destination Port: 53 | Protocol: UDP | Flags:  | TTL: 62 | Volume: 1469 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00003841 | Source IP: 217.253.147.39 | Destination IP: 192.168.1.200 | Source Port: 34086 | Destination Port: 443 | Protocol: UDP | Flags:  | TTL: 211 | Volume: 338 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00003941 | Source IP: 141.31.96.146 | Destination IP: 10.0.0.50 | Source Port: 43700 | Destination Port: 53 | Protocol: TCP | Flags: SYN | TTL: 52 | Volume: 601 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00004041 | Source IP: 215.129.250.220 | Destination IP: 172.16.0.10 | Source Port: 48676 | Destination Port: 22 | Protocol: UDP | Flags:  | TTL: 184 | Volume: 1337 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00004141 | Source IP: 128.35.76.154 | Destination IP: 172.16.0.10 | Source Port: 24834 | Destination Port: 80 | Protocol: TCP | Flags:  | TTL: 70 | Volume: 349 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00004241 | Source IP: 136.33.122.223 | Destination IP: 10.0.0.50 | Source Port: 35079 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 139 | Volume: 1419 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00004341 | Source IP: 197.200.6.140 | Destination IP: 192.168.1.200 | Source Port: 11457 | Destination Port: 53 | Protocol: TCP | Flags: SYN | TTL: 91 | Volume: 1147 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00004441 | Source IP: 205.169.107.81 | Destination IP: 192.168.1.200 | Source Port: 36149 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 142 | Volume: 443 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00004541 | Source IP: 150.244.125.229 | Destination IP: 192.168.1.200 | Source Port: 21102 | Destination Port: 443 | Protocol: TCP | Flags:  | TTL: 111 | Volume: 76 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00004641 | Source IP: 184.23.149.32 | Destination IP: 192.168.1.200 | Source Port: 45363 | Destination Port: 53 | Protocol: TCP | Flags: SYN | TTL: 72 | Volume: 704 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00004741 | Source IP: 237.68.85.3 | Destination IP: 192.168.1.200 | Source Port: 7454 | Destination Port: 22 | Protocol: TCP | Flags: SYN | TTL: 188 | Volume: 942 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00004841 | Source IP: 50.160.66.212 | Destination IP: 172.16.0.10 | Source Port: 44057 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 227 | Volume: 469 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00004941 | Source IP: 12.168.144.6 | Destination IP: 172.16.0.10 | Source Port: 10871 | Destination Port: 22 | Protocol: TCP | Flags: SYN | TTL: 192 | Volume: 1028 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00005041 | Source IP: 73.4.182.5 | Destination IP: 172.16.0.10 | Source Port: 9344 | Destination Port: 80 | Protocol: TCP | Flags: SYN | TTL: 222 | Volume: 83 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00005141 | Source IP: 67.194.251.147 | Destination IP: 10.0.0.50 | Source Port: 58638 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 209 | Volume: 152 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00005241 | Source IP: 164.118.29.241 | Destination IP: 192.168.1.200 | Source Port: 1319 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 209 | Volume: 349 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00005341 | Source IP: 144.161.213.249 | Destination IP: 172.16.0.10 | Source Port: 8467 | Destination Port: 80 | Protocol: TCP | Flags: SYN | TTL: 140 | Volume: 461 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00005441 | Source IP: 239.202.80.238 | Destination IP: 10.0.0.50 | Source Port: 28562 | Destination Port: 22 | Protocol: TCP | Flags: SYN | TTL: 149 | Volume: 1345 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00005541 | Source IP: 172.18.189.242 | Destination IP: 172.16.0.10 | Source Port: 16411 | Destination Port: 80 | Protocol: TCP | Flags: SYN | TTL: 228 | Volume: 1065 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00005641 | Source IP: 96.57.84.208 | Destination IP: 172.16.0.10 | Source Port: 21232 | Destination Port: 22 | Protocol: UDP | Flags:  | TTL: 115 | Volume: 96 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00005741 | Source IP: 203.140.222.150 | Destination IP: 192.168.1.200 | Source Port: 17771 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 217 | Volume: 1096 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00005841 | Source IP: 37.228.108.73 | Destination IP: 192.168.1.200 | Source Port: 19975 | Destination Port: 53 | Protocol: TCP | Flags: SYN | TTL: 128 | Volume: 288 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00005941 | Source IP: 237.243.38.209 | Destination IP: 10.0.0.50 | Source Port: 46829 | Destination Port: 443 | Protocol: TCP | Flags:  | TTL: 32 | Volume: 1071 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00006041 | Source IP: 98.222.73.197 | Destination IP: 10.0.0.50 | Source Port: 32675 | Destination Port: 22 | Protocol: UDP | Flags:  | TTL: 128 | Volume: 285 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00006141 | Source IP: 206.1.63.26 | Destination IP: 192.168.1.200 | Source Port: 24973 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 76 | Volume: 522 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00006241 | Source IP: 34.132.15.206 | Destination IP: 192.168.1.200 | Source Port: 13602 | Destination Port: 443 | Protocol: TCP | Flags: SYN | TTL: 246 | Volume: 409 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00006341 | Source IP: 122.121.237.5 | Destination IP: 10.0.0.50 | Source Port: 49414 | Destination Port: 22 | Protocol: UDP | Flags:  | TTL: 150 | Volume: 367 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00006441 | Source IP: 223.206.131.61 | Destination IP: 172.16.0.10 | Source Port: 15004 | Destination Port: 53 | Protocol: TCP | Flags:  | TTL: 77 | Volume: 1323 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00006541 | Source IP: 199.107.164.191 | Destination IP: 172.16.0.10 | Source Port: 27192 | Destination Port: 80 | Protocol: TCP | Flags: SYN | TTL: 79 | Volume: 1132 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00006641 | Source IP: 92.250.104.236 | Destination IP: 192.168.1.200 | Source Port: 25179 | Destination Port: 53 | Protocol: TCP | Flags: SYN | TTL: 185 | Volume: 497 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00006741 | Source IP: 126.138.65.62 | Destination IP: 192.168.1.200 | Source Port: 54665 | Destination Port: 22 | Protocol: TCP | Flags: SYN | TTL: 125 | Volume: 664 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00006841 | Source IP: 244.151.105.187 | Destination IP: 192.168.1.200 | Source Port: 16728 | Destination Port: 53 | Protocol: TCP | Flags: SYN | TTL: 237 | Volume: 840 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00006941 | Source IP: 114.207.225.91 | Destination IP: 172.16.0.10 | Source Port: 62764 | Destination Port: 53 | Protocol: UDP | Flags:  | TTL: 53 | Volume: 203 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00007041 | Source IP: 99.17.0.29 | Destination IP: 10.0.0.50 | Source Port: 29880 | Destination Port: 443 | Protocol: TCP | Flags: SYN | TTL: 190 | Volume: 928 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00007141 | Source IP: 197.163.121.81 | Destination IP: 10.0.0.50 | Source Port: 25459 | Destination Port: 443 | Protocol: TCP | Flags:  | TTL: 182 | Volume: 175 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00007241 | Source IP: 189.200.188.39 | Destination IP: 172.16.0.10 | Source Port: 55308 | Destination Port: 80 | Protocol: TCP | Flags: SYN | TTL: 65 | Volume: 564 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00007341 | Source IP: 88.242.175.4 | Destination IP: 10.0.0.50 | Source Port: 48247 | Destination Port: 53 | Protocol: TCP | Flags:  | TTL: 197 | Volume: 1156 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00007441 | Source IP: 158.229.25.88 | Destination IP: 192.168.1.200 | Source Port: 24483 | Destination Port: 80 | Protocol: TCP | Flags:  | TTL: 225 | Volume: 1392 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00007541 | Source IP: 80.165.60.177 | Destination IP: 10.0.0.50 | Source Port: 57680 | Destination Port: 80 | Protocol: TCP | Flags:  | TTL: 248 | Volume: 715 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00007641 | Source IP: 138.45.16.152 | Destination IP: 172.16.0.10 | Source Port: 64145 | Destination Port: 443 | Protocol: UDP | Flags:  | TTL: 186 | Volume: 1060 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00007741 | Source IP: 68.125.217.135 | Destination IP: 172.16.0.10 | Source Port: 60242 | Destination Port: 53 | Protocol: TCP | Flags:  | TTL: 213 | Volume: 999 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00007841 | Source IP: 200.72.175.22 | Destination IP: 172.16.0.10 | Source Port: 41139 | Destination Port: 53 | Protocol: TCP | Flags: SYN | TTL: 207 | Volume: 94 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00007941 | Source IP: 3.79.64.98 | Destination IP: 172.16.0.10 | Source Port: 23658 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 90 | Volume: 1115 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00008041 | Source IP: 133.125.166.172 | Destination IP: 192.168.1.200 | Source Port: 2597 | Destination Port: 53 | Protocol: TCP | Flags: SYN | TTL: 220 | Volume: 113 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00008141 | Source IP: 71.137.229.169 | Destination IP: 172.16.0.10 | Source Port: 59231 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 181 | Volume: 1333 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00008241 | Source IP: 51.90.205.255 | Destination IP: 192.168.1.200 | Source Port: 30861 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 54 | Volume: 228 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00008341 | Source IP: 26.247.208.142 | Destination IP: 192.168.1.200 | Source Port: 1407 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 191 | Volume: 1206 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00008441 | Source IP: 32.149.203.17 | Destination IP: 10.0.0.50 | Source Port: 64809 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 127 | Volume: 278 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00008541 | Source IP: 140.233.228.10 | Destination IP: 172.16.0.10 | Source Port: 47062 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 34 | Volume: 924 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00008641 | Source IP: 203.176.82.156 | Destination IP: 10.0.0.50 | Source Port: 51713 | Destination Port: 53 | Protocol: TCP | Flags: SYN | TTL: 121 | Volume: 935 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00008741 | Source IP: 161.140.72.135 | Destination IP: 192.168.1.200 | Source Port: 40533 | Destination Port: 80 | Protocol: TCP | Flags:  | TTL: 171 | Volume: 82 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00008841 | Source IP: 122.165.99.78 | Destination IP: 192.168.1.200 | Source Port: 9490 | Destination Port: 443 | Protocol: TCP | Flags: SYN | TTL: 179 | Volume: 699 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00008941 | Source IP: 228.164.150.50 | Destination IP: 10.0.0.50 | Source Port: 8340 | Destination Port: 22 | Protocol: UDP | Flags:  | TTL: 126 | Volume: 1197 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00009041 | Source IP: 148.173.70.215 | Destination IP: 172.16.0.10 | Source Port: 27671 | Destination Port: 22 | Protocol: UDP | Flags:  | TTL: 158 | Volume: 434 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00009141 | Source IP: 221.33.212.222 | Destination IP: 10.0.0.50 | Source Port: 17064 | Destination Port: 443 | Protocol: TCP | Flags:  | TTL: 154 | Volume: 1193 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00009241 | Source IP: 199.154.47.8 | Destination IP: 172.16.0.10 | Source Port: 50338 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 173 | Volume: 755 | Spoofed: 1 | Attack Type: UDP_Flood
Received Packet 00009341 | Source IP: 144.191.203.107 | Destination IP: 10.0.0.50 | Source Port: 43439 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 188 | Volume: 1209 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00009441 | Source IP: 168.243.144.216 | Destination IP: 192.168.1.200 | Source Port: 7565 | Destination Port: 80 | Protocol: TCP | Flags: SYN | TTL: 249 | Volume: 1237 | Spoofed: 0 | Attack Type: SYN_Flood
Received Packet 00009541 | Source IP: 79.154.182.120 | Destination IP: 172.16.0.10 | Source Port: 14732 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 238 | Volume: 1011 | Spoofed: 1 | Attack Type: HTTP_Flood
2025-05-24 16:11:28,238 - Batch processed 100 packets. CPU: 0.0%, RAM: 88.4%
Received Packet 00000002 | Source IP: 108.182.211.105 | Destination IP: 192.168.1.200 | Source Port: 32526 | Destination Port: 80 | Protocol: TCP | Flags: SYN | TTL: 156 | Volume: 1130 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00000007 | Source IP: 127.0.106.105 | Destination IP: 172.16.0.10 | Source Port: 11468 | Destination Port: 80 | Protocol: TCP | Flags:  | TTL: 89 | Volume: 666 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00000018 | Source IP: 56.12.55.54 | Destination IP: 172.16.0.10 | Source Port: 39778 | Destination Port: 53 | Protocol: TCP | Flags:  | TTL: 69 | Volume: 779 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00000042 | Source IP: 44.247.11.22 | Destination IP: 172.16.0.10 | Source Port: 56663 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 107 | Volume: 992 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00000095 | Source IP: 139.152.51.240 | Destination IP: 172.16.0.10 | Source Port: 59838 | Destination Port: 80 | Protocol: TCP | Flags:  | TTL: 84 | Volume: 614 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00000195 | Source IP: 75.95.46.197 | Destination IP: 10.0.0.50 | Source Port: 35135 | Destination Port: 443 | Protocol: TCP | Flags: SYN | TTL: 54 | Volume: 1068 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00000295 | Source IP: 61.60.74.165 | Destination IP: 192.168.1.200 | Source Port: 41786 | Destination Port: 53 | Protocol: UDP | Flags:  | TTL: 135 | Volume: 481 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00000395 | Source IP: 20.77.18.205 | Destination IP: 172.16.0.10 | Source Port: 56863 | Destination Port: 80 | Protocol: TCP | Flags:  | TTL: 250 | Volume: 901 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00000496 | Source IP: 246.90.40.174 | Destination IP: 10.0.0.50 | Source Port: 21220 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 121 | Volume: 67 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00000596 | Source IP: 181.41.54.38 | Destination IP: 10.0.0.50 | Source Port: 43134 | Destination Port: 22 | Protocol: TCP | Flags:  | TTL: 160 | Volume: 638 | Spoofed: 1 | Attack Type: HTTP_Flood
Received Packet 00000696 | Source IP: 85.190.183.202 | Destination IP: 172.16.0.10 | Source Port: 24544 | Destination Port: 443 | Protocol: TCP | Flags: SYN | TTL: 222 | Volume: 1056 | Spoofed: 1 | Attack Type: SYN_Flood
Received Packet 00000796 | Source IP: 60.251.9.15 | Destination IP: 10.0.0.50 | Source Port: 29592 | Destination Port: 80 | Protocol: UDP | Flags:  | TTL: 151 | Volume: 1372 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00000896 | Source IP: 217.8.193.217 | Destination IP: 172.16.0.10 | Source Port: 60238 | Destination Port: 443 | Protocol: UDP | Flags:  | TTL: 32 | Volume: 1031 | Spoofed: 0 | Attack Type: UDP_Flood
Received Packet 00000996 | Source IP: 221.33.144.153 | Destination IP: 172.16.0.10 | Source Port: 28793 | Destination Port: 53 | Protocol: TCP | Flags:  | TTL: 36 | Volume: 963 | Spoofed: 0 | Attack Type: HTTP_Flood
Received Packet 00001096 | Source IP: 175.0.85.234 | Destination IP: 10.0.0.50 | Source Port: 39132 | Destination Port: 443 | Protocol: TCP | Flags:  | TTL: 68 | Volume: 685 | Spoofed: 0 | Attack Type: HTTP_Flood
